serial,fsr,emg
1479,2896,2070
1480,2905,2135
1481,2896,2144
1482,2885,2185
1483,2864,2159
1484,2832,2196
1485,2821,2192
1486,2826,2194
1487,2837,2192
1488,2842,2191
1489,2837,2199
1490,2829,2275
1491,2807,2288
1492,2802,2272
1493,2800,2350
1494,2800,2263
1495,2803,2342
1496,2822,2323
1497,2851,2320
1498,2821,2290
1499,2806,2363
1500,2810,2425
1501,2814,2412
1502,2833,2352
1503,2824,2401
1504,2829,2384
1505,2858,2336
1506,2884,2309
1507,2896,2356
1508,2896,2431
1509,2906,2431
1510,2907,2325
1511,2918,2437
1512,2905,2402
1513,2907,2410
1514,2910,2320
1515,2909,2323
1516,2917,2329
1517,2913,2352
1518,2909,2306
1519,2913,2374
1520,2927,2343
1521,2925,2370
1522,2928,2356
1523,2931,2378
1524,2917,2323
1525,2923,2367
1526,2928,2358
1527,2930,2397
1528,2933,2420
1529,2931,2427
1530,2930,2363
1531,2930,2329
1532,2930,2379
1533,2931,2350
1534,2928,2338
1535,2935,2321
1536,2934,2343
1537,2927,2352
1538,2928,2404
1539,2928,2363
1540,2901,2363
1541,2896,2302
1542,2887,2361
1543,2880,2347
1544,2881,2391
1545,2869,2481
1546,2877,2478
1547,2881,2377
1548,2867,2383
1549,2877,2345
1550,2873,2379
1551,2877,2322
1552,2881,2374
1553,2886,2321
1554,2886,2407
1555,2879,2320
1556,2880,2327
1557,2880,2298
1558,2883,2350
1559,2883,2349
1560,2885,2367
1561,2892,2291
1562,2886,2357
1563,2885,2313
1564,2882,2368
1565,2889,2343
1566,2887,2358
1567,2881,2314
1568,2896,2345
1569,2907,2291
1570,2884,2395
1571,2878,2320
1572,2889,2320
1573,2890,2314
1574,2883,2343
1575,2877,2318
1576,2883,2295
1577,2891,2257
1578,2896,2278
1579,2898,2301
1580,2907,2330
1581,2898,2343
1582,2910,2320
1583,2902,2310
1584,2865,2304
1585,2875,2311
1586,2895,2303
1587,2873,2343
1588,2862,2365
1589,2850,2333
1590,2846,2309
1591,2842,2302
1592,2858,2298
1593,2858,2378
1594,2864,2390
1595,2882,2416
1596,2885,2377
1597,2896,2416
1598,2887,2349
1599,2879,2400
1600,2871,2480
1601,2871,2495
1602,2875,2467
1603,2887,2426
1604,2873,2343
1605,2869,2391
1606,2859,2347
1607,2845,2371
1608,2832,2255
1609,2832,2288
